Company_Name,Category,Object_id,Country,Region,Amount_Raised_USD,Stage,Funded_At
OLED-T,,c:48831,GBR,Enfield,7000000,venture,2006-05-30
myhomepage,software,c:43756,GBR,London,72811,angel,2010-06-01
Mfuse,,c:2976,GBR,London,6490000,venture,2006-02-22
Million-2-1,,c:48956,GBR,Lancashire,5650000,venture,2006-05-11
ZBD Displays,,c:48962,GBR,London,5430000,venture,2006-08-30
SiConnect,semiconductor,c:48966,GBR,Wiltshire,5320000,series-b,2006-09-25
Nallatech,semiconductor,c:45185,GBR,Glasgow,5000000,venture,2006-02-13
Cascade Technologies,semiconductor,c:23439,GBR,Stirling,4590000,series-b,2006-07-16
Secerno,,c:27686,GBR,London,3800000,series-a,2006-03-01
Helveta,software,c:38415,GBR,United Kingdom - Other,3736166,venture,2006-10-01
RFI Global Services,,c:49162,GBR,Hampshire,3477549,venture,2006-02-13
Light Blue Optics,hardware,c:28299,GBR,London,3500000,venture,2006-07-31
SPI Lasers,,c:49163,GBR,London,3440000,venture,2006-11-30
CANDDi,analytics,c:43957,GBR,Manchester,29833,angel,2010-03-01
Rock Control,music,c:49227,GBR,London,29833,angel,2010-03-01
Ubisense,public_relations,c:49330,GBR,London,3000000,venture,2006-03-28
TV Pixie,web,c:21263,GBR,London,69585,angel,2009-01-01
MMIC Solutions,semiconductor,c:23361,GBR,Herefordshire,1899177,series-a,2006-10-31
Phasor Solutions,hardware,c:26711,GBR,London,1890000,venture,2006-08-29
Fonix,public_relations,c:49560,GBR,Sheffield,1819459,venture,2006-06-27
Camrivox,public_relations,c:16972,GBR,London,1560000,venture,2006-03-07
Exterity,public_relations,c:30062,GBR,Fife,1440000,venture,2006-02-23
Stingray Geophysical,,c:48283,GBR,London,1300000,series-a,2006-11-10
XMOS,semiconductor,c:42150,GBR,Bristol,1190000,series-a,2006-09-19
Oxtox,,c:49618,GBR,Nottingham,1132930,series-a,2006-11-16
Lontra,,c:49711,GBR,Northants,,venture,2006-09-29
DAD Technology Limited,software,c:30464,GBR,Frensham,1093117,angel,2010-06-04
Q Chip,biotech,c:49721,GBR,Cardiff,574000,venture,2006-02-15
Presence Networks,,c:49763,GBR,Berkshire,492049,venture,2006-12-01
TBS,,c:49765,GBR,London,472301,venture,2006-10-03
Design LED Products,hardware,c:49767,GBR,Livingston,459218,venture,2006-07-01
DigePrint,,c:49778,GBR,Coventry,386406,venture,2006-03-01
Lime Microsystems,semiconductor,c:49779,GBR,London,343000,venture,2006-09-01
Intamac Systems,software,c:38534,GBR,Northampton,4910800,venture,2010-06-16
Snaptu,mobile,c:50206,GBR,London,6000000,series-b,2010-06-22
Semafone,security,c:50416,GBR,London,2840000,venture,2010-06-24
Reevoo,enterprise,c:29569,GBR,London,,series-b,2010-06-29
GroupSpaces,software,c:3937,GBR,London,1300000,venture,2010-06-30
SealedMedia,software,c:50768,GBR,Beaconsfield,8500000,venture,2005-04-26
EUSA Pharma,biotech,c:31179,GBR,London,13970000,venture,2005-07-19
EUSA Pharma,biotech,c:31179,GBR,London,12530000,venture,2005-12-13
Oxford Immunotec,medical,c:36485,GBR,London,12550011,series-b,2005-08-10
Syntaxin,biotech,c:43670,GBR,London,10390000,series-a,2005-11-14
Takeda Cambridge,biotech,c:46356,GBR,London,9380000,venture,2005-01-07
Calendargod,web,c:50856,GBR,London,250000,angel,2010-01-01
Volantis Systems,software,c:37027,GBR,London,7500000,venture,2005-09-13
Xceleron (Chapter 11),analytics,c:40421,GBR,Washington DC,3653122,venture,2005-05-25
Icera,mobile,c:24295,GBR,Bristol,45000000,venture,2010-05-20
My-wardrobe.com,fashion,c:50918,GBR,Nottingham,9000000,series-a,2010-07-05
Nanotecture,hardware,c:50919,GBR,London,6820000,series-c+,2005-05-04
picoChip,software,c:20156,GBR,Bath,20000000,venture,2010-06-14
Pro-Cure Therapeutics,biotech,c:44296,GBR,York,1080000,venture,2010-04-13
